Date,Day,Campaign Week,Feature Group,Weekly Lens,Phase,Funnel Goal,Feature / Theme,Angle,Format,Promotion,Channels,Audience,Hook,Core Message,CTA,Creative Brief,New Feature Highlight,Feature ID,Added On,Status,Owner,Asset / Draft Link
2026-11-18,Wednesday,Week 7,experience,Screen / workflow demo,Workflow proof,Conversion support,✨ NEW — Interactive product demos,Problem → workflow,Paid ad creative,Paid prospecting + retargeting,"Instagram, Facebook, LinkedIn",prospective businesses exploring INPROFIC,Still solving this manually? ✨ NEW — Interactive product demos keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: The marketing site provides a vertical-aware workflow, a floating module constellation with flowing brand connectors and viewport-centred previews, plus a detailed storefront-to-fulfilment flow.",Map this to your workflow,"Use a real INPROFIC screen/demo for Interactive product demos. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,interactive-product-demos,2026-09-21,Planned,,
2026-11-19,Thursday,Week 8,platform operations,Connected-system handoff,Workflow proof,Awareness,✨ NEW — Targeted business mailing workspace,Problem → workflow,Reel / short demo,Organic,"Instagram, Facebook",INPROFIC platform operators,Still solving this manually? ✨ NEW — Targeted business mailing workspace keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Create reusable branded email topics, segment current businesses by service and plan, send immediately, and retry provider failures safely with per-recipient delivery totals.",Map this to your workflow,"Use a real INPROFIC screen/demo for Targeted business mailing workspace. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,platform-mailing-workspace,2026-09-24,Planned,,
2026-11-20,Friday,Week 8,experience,Control / verification,Workflow proof,Consideration,✨ NEW — Founder-managed trusted-business strip,Problem → workflow,Carousel,Organic + boost,"Instagram, LinkedIn",prospective businesses exploring INPROFIC,Still solving this manually? ✨ NEW — Founder-managed trusted-business strip keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Show a founder-enabled scrolling logo strip above the product demo, automatically limiting tenant logos to paid businesses while the animated platform count includes trials and approved manual logos fill gaps.",Map this to your workflow,"Use a real INPROFIC screen/demo for Founder-managed trusted-business strip. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,trusted-business-strip,2026-09-25,Planned,,
2026-11-21,Saturday,Week 8,operations,Persona / use case,Workflow proof,Conversion support,Inventory with purchase-to-usage units,Problem → workflow,Static graphic,Organic,"LinkedIn, Facebook","owners, storekeepers, production teams",Still solving this manually? Inventory with purchase-to-usage units keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Buy in packs or bags while stock and recipes stay accurate in the unit actually consumed.",Map this to your workflow,"Use a real INPROFIC screen/demo for Inventory with purchase-to-usage units. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,inventory-units,,Planned,,
2026-11-22,Sunday,Week 8,experience,Recap / CTA,Workflow proof,Awareness,Dashboard search and operating insights,Problem → workflow,Screen-record demo,Organic + paid,"Instagram, TikTok",owners and managers,Still solving this manually? Dashboard search and operating insights keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Search key business records quickly and review stock, commercial and period signals from one operating dashboard.",Map this to your workflow,"Use a real INPROFIC screen/demo for Dashboard search and operating insights. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,dashboard-insights,,Planned,,
2026-11-23,Monday,Week 8,operations,Problem / pain point,Workflow proof,Consideration,✨ NEW — Persistent stock alerts inside the shared operations tray,Problem → workflow,Story / poll,Organic,"Instagram Stories, Facebook Stories","owners, storekeepers, managers",Still solving this manually? ✨ NEW — Persistent stock alerts inside the shared operations tray keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Raw-material and finished-good warning/low conditions open in separate Inventory tabs inside the movable tray, keep per-user snooze/re-alert timing, can use synthesized alerts or eight bundled audio chimes, and continue due reminders through Web Push when the app is backgrounded or closed.",Map this to your workflow,"Use a real INPROFIC screen/demo for Persistent stock alerts inside the shared operations tray. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,stock-alerts,2026-09-20,Planned,,
2026-11-24,Tuesday,Week 8,operations,How it works,Workflow proof,Conversion support,Business-defined product categories,Problem → workflow,Founder post,Organic,"LinkedIn, Facebook","retail, restaurant, bakery and wholesale teams",Still solving this manually? Business-defined product categories keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Organize sellable products independently of whether they are made in-house or purchased for resale.",Map this to your workflow,"Use a real INPROFIC screen/demo for Business-defined product categories. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,product-categories,,Planned,,
2026-11-25,Wednesday,Week 8,operations,Screen / workflow demo,Workflow proof,Awareness,Controlled measurement changes,Problem → workflow,Paid ad creative,Paid prospecting + retargeting,"Instagram, Facebook, LinkedIn",inventory and production managers,Still solving this manually? Controlled measurement changes keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Convert live stock and recipe definitions without rewriting completed historical evidence.",Map this to your workflow,"Use a real INPROFIC screen/demo for Controlled measurement changes. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,measurement-change,,Planned,,
2026-11-26,Thursday,Week 9,operations,Connected-system handoff,Workflow proof,Consideration,Procurement and receiving,Problem → workflow,Reel / short demo,Organic,"Instagram, Facebook",procurement and store teams,Still solving this manually? Procurement and receiving keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Receive purchase orders into stock with unit conversion and cost updates handled together.",Map this to your workflow,"Use a real INPROFIC screen/demo for Procurement and receiving. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,procurement,,Planned,,
2026-11-27,Friday,Week 9,operations,Control / verification,Workflow proof,Conversion support,Wholesale and retail stock-first workflows,Problem → workflow,Carousel,Organic + boost,"Instagram, LinkedIn",wholesalers and retailers,Still solving this manually? Wholesale and retail stock-first workflows keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Wholesale and retail use procurement-first stock-product forms and supporting-supply controls without production-only recipe, batch or base-material fields.",Map this to your workflow,"Use a real INPROFIC screen/demo for Wholesale and retail stock-first workflows. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,wholesale-retail,,Planned,,
2026-11-28,Saturday,Week 9,production,Persona / use case,Workflow proof,Awareness,Production requests and orders,Problem → workflow,Static graphic,Organic,"LinkedIn, Facebook",production-led businesses,Still solving this manually? Production requests and orders keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Plan output, release recipe materials transactionally and add completed output to finished stock.",Map this to your workflow,"Use a real INPROFIC screen/demo for Production requests and orders. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,production,,Planned,,
2026-11-29,Sunday,Week 9,production,Recap / CTA,Workflow proof,Consideration,Shared Production Runs,Problem → workflow,Screen-record demo,Organic + paid,"Instagram, TikTok",production planners and managers,Still solving this manually? Shared Production Runs keeps the workflow connected instead of handing it off to another spreadsheet.,"Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Coordinate multiple normal customer/restock orders into one combined material release without losing order-level attribution.",Map this to your workflow,"Use a real INPROFIC screen/demo for Shared Production Runs. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,shared-runs,,Planned,,
2026-11-30,Monday,Week 9,production,Problem / pain point,Workflow proof,Conversion support,"Batch yield, wastage and output tracking",Problem → workflow,Story / poll,Organic,"Instagram Stories, Facebook Stories",production teams,"Still solving this manually? Batch yield, wastage and output tracking keeps the workflow connected instead of handing it off to another spreadsheet.","Start from a familiar operational problem, then show the INPROFIC workflow that resolves it. Proof point: Keep requested quantity, planned output, actual output and wastage distinct.",Map this to your workflow,"Use a real INPROFIC screen/demo for Batch yield, wastage and output tracking. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,batch-yield,,Planned,,
2026-12-01,Tuesday,Week 9,production,How it works,Year-end readiness,Awareness,"Offcut, surplus and shortage reconciliation",Control / ROI / readiness,Founder post,Organic,"LinkedIn, Facebook",production and sales managers,"Year-end control check: Offcut, surplus and shortage reconciliation gives the next operating period cleaner evidence and fewer disconnected handoffs.","Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Route usable surplus deliberately and reconcile customer shortages without duplicate sales or production events.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Offcut, surplus and shortage reconciliation. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,offcuts-shortages,,Planned,,
2026-12-02,Wednesday,Week 9,sales,Screen / workflow demo,Year-end readiness,Consideration,Customer orders and sales,Control / ROI / readiness,Paid ad creative,Paid prospecting + retargeting,"Instagram, Facebook, LinkedIn",sales teams and owners,Year-end control check: Customer orders and sales gives the next operating period cleaner evidence and fewer disconnected handoffs.,"Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Handle walk-in and customer orders while preserving fulfilment and payment state separately.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Customer orders and sales. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,sales,,Planned,,
2026-12-03,Thursday,Week 10,sales,Connected-system handoff,Year-end readiness,Conversion support,Customer and channel pricing,Control / ROI / readiness,Reel / short demo,Organic,"Instagram, Facebook",wholesale and distribution businesses,Year-end control check: Customer and channel pricing gives the next operating period cleaner evidence and fewer disconnected handoffs.,"Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Resolve customer-specific pricing before channel pricing, then fall back to the product default.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Customer and channel pricing. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,customer-pricing,,Planned,,
2026-12-04,Friday,Week 10,finance,Control / verification,Year-end readiness,Awareness,"Receivables, payables and partial settlement",Control / ROI / readiness,Carousel,Organic + boost,"Instagram, LinkedIn",owners and finance teams,"Year-end control check: Receivables, payables and partial settlement gives the next operating period cleaner evidence and fewer disconnected handoffs.","Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Track what is owed separately from real cash movement and support partial settlement without false paid states.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Receivables, payables and partial settlement. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,credit,,Planned,,
2026-12-05,Saturday,Week 10,finance,Persona / use case,Year-end readiness,Consideration,Auditable cash and finance ledger,Control / ROI / readiness,Static graphic,Organic,"LinkedIn, Facebook",finance teams and owners,Year-end control check: Auditable cash and finance ledger gives the next operating period cleaner evidence and fewer disconnected handoffs.,"Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Verified money movement posts to tenant-owned accounts with compensating reversals instead of destructive edits.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Auditable cash and finance ledger. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,finance-ledger,,Planned,,
2026-12-06,Sunday,Week 10,finance,Recap / CTA,Year-end readiness,Conversion support,Expenses and expense settlement,Control / ROI / readiness,Screen-record demo,Organic + paid,"Instagram, TikTok",owners and finance teams,Year-end control check: Expenses and expense settlement gives the next operating period cleaner evidence and fewer disconnected handoffs.,"Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Record business expenses, distinguish unpaid obligations from actual settlement, and feed paid amounts into the cash ledger.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Expenses and expense settlement. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,expenses,,Planned,,
2026-12-07,Monday,Week 10,commerce,Problem / pain point,Year-end readiness,Awareness,Hosted storefront and Order Now,Control / ROI / readiness,Story / poll,Organic,"Instagram Stories, Facebook Stories",businesses selling online without a custom commerce stack,Year-end control check: Hosted storefront and Order Now gives the next operating period cleaner evidence and fewer disconnected handoffs.,"Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Publish tenant products, show only the selected channel price (or rotate available prices in Full menu), generate shareable tenant QR codes, and take payment-first baskets without premature operational records.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Hosted storefront and Order Now. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,commerce-storefront,,Planned,,
2026-12-08,Tuesday,Week 10,commerce,How it works,Year-end readiness,Consideration,Headless Commerce API,Control / ROI / readiness,Founder post,Organic,"LinkedIn, Facebook",businesses with custom websites or apps,Year-end control check: Headless Commerce API gives the next operating period cleaner evidence and fewer disconnected handoffs.,"Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: External websites consume authoritative catalogue, checkout, payment, delivery and tracking endpoints; catalogue discovery declares the selected-channel price display and 2-second Full menu rotation contract while external pricing never exposes the in-premise price.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Headless Commerce API. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,headless-api,,Planned,,
2026-12-09,Wednesday,Week 10,commerce,Screen / workflow demo,Year-end readiness,Conversion support,Paystack and Monnify payments,Control / ROI / readiness,Paid ad creative,Paid prospecting + retargeting,"Instagram, Facebook, LinkedIn",online-selling businesses,Year-end control check: Paystack and Monnify payments gives the next operating period cleaner evidence and fewer disconnected handoffs.,"Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Provider-backed checkout and instant transfer settle only after authoritative provider verification.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Paystack and Monnify payments. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,gateway-payments,,Planned,,
2026-12-10,Thursday,Week 11,commerce,Connected-system handoff,Year-end readiness,Awareness,✨ NEW — Transfer without a payment gateway,Control / ROI / readiness,Reel / short demo,Organic,"Instagram, Facebook",businesses that prefer direct bank transfer,Year-end control check: ✨ NEW — Transfer without a payment gateway gives the next operating period cleaner evidence and fewer disconnected handoffs.,"Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Show the business bank account, require customer payment proof externally, and keep payment pending until staff verifies the actual credit.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Transfer without a payment gateway. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,direct-transfer,2026-09-20,Planned,,
2026-12-11,Friday,Week 11,commerce,Control / verification,Year-end readiness,Consideration,✨ NEW — In-premise POS,Control / ROI / readiness,Carousel,Organic + boost,"Instagram, LinkedIn","cashiers, stores, restaurants and walk-in operations",Year-end control check: ✨ NEW — In-premise POS gives the next operating period cleaner evidence and fewer disconnected handoffs.,"Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Staff can complete counter sales with Cash, direct Transfer or supported terminal payment only when the tenant plan includes Commerce and Commerce is explicitly enabled; POS still keeps its dedicated user permission.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for In-premise POS. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,pos,2026-09-24,Planned,,
2026-12-12,Saturday,Week 11,delivery,Persona / use case,Year-end readiness,Conversion support,Delivery quoting and hybrid routing,Control / ROI / readiness,Static graphic,Organic,"LinkedIn, Facebook",businesses delivering customer orders,Year-end control check: Delivery quoting and hybrid routing gives the next operating period cleaner evidence and fewer disconnected handoffs.,"Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Quote from validated destinations before payment and switch between in-house and configured provider routing under tenant policy.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Delivery quoting and hybrid routing. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,delivery,,Planned,,
2026-12-13,Sunday,Week 11,delivery,Recap / CTA,Year-end readiness,Awareness,Mapped delivery areas and precise address validation,Control / ROI / readiness,Screen-record demo,Organic + paid,"Instagram, TikTok",dispatch teams and online-selling businesses,Year-end control check: Mapped delivery areas and precise address validation gives the next operating period cleaner evidence and fewer disconnected handoffs.,"Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Define delivery coverage, locate typed addresses after a calm 2-second idle window, keep corrections from being overwritten by stale lookups, and fall back to a customer map pin before quoting delivery.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Mapped delivery areas and precise address validation. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,delivery-coverage,,Planned,,
2026-12-14,Monday,Week 11,delivery,Problem / pain point,Year-end readiness,Consideration,✨ NEW — Provider-neutral delivery partner adapters,Control / ROI / readiness,Story / poll,Organic,"Instagram Stories, Facebook Stories","businesses using in-house riders, couriers or external delivery partners",Year-end control check: ✨ NEW — Provider-neutral delivery partner adapters gives the next operating period cleaner evidence and fewer disconnected handoffs.,"Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Keep INPROFIC in control of delivery pricing, routing and tracking while any courier stays manual or connects through a normalized dispatch/status adapter; optional built-in providers remain separately governed.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Provider-neutral delivery partner adapters. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,glovo-provider,2026-09-20,Planned,,
2026-12-15,Tuesday,Week 11,delivery,How it works,Year-end readiness,Conversion support,"✨ NEW — Shared realtime Commerce, Inventory and Finance alert tray",Control / ROI / readiness,Founder post,Organic,"LinkedIn, Facebook","dispatchers, managers and riders","Year-end control check: ✨ NEW — Shared realtime Commerce, Inventory and Finance alert tray gives the next operating period cleaner evidence and fewer disconnected handoffs.","Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Commerce, payment, Delivery, Inventory and Finance attention share one movable access-aware tray without merging their underlying record state; Commerce/Delivery can use durable Web Push in the background, while Finance surfaces unpaid invoices, receivables, payables and balancing anomalies from the same finance records.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Shared realtime Commerce, Inventory and Finance alert tray. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,delivery-notifications,2026-09-24,Planned,,
2026-12-16,Wednesday,Week 11,delivery,Screen / workflow demo,Year-end readiness,Awareness,Delivery Rider workspace,Control / ROI / readiness,Paid ad creative,Paid prospecting + retargeting,"Instagram, Facebook, LinkedIn",in-house riders and dispatch teams,Year-end control check: Delivery Rider workspace gives the next operating period cleaner evidence and fewer disconnected handoffs.,"Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Riders see only assigned deliveries, allowed status actions and proof-of-delivery; admins control the rider alert tune/repeat policy and riders can enroll their own device for background Web Push.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Delivery Rider workspace. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,rider,,Planned,,
2026-12-17,Thursday,Week 12,commerce,Connected-system handoff,Year-end readiness,Consideration,Storefront customer profiles and tracking,Control / ROI / readiness,Reel / short demo,Organic,"Instagram, Facebook",repeat online customers,Year-end control check: Storefront customer profiles and tracking gives the next operating period cleaner evidence and fewer disconnected handoffs.,"Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Optional tenant-scoped customer accounts save contact details and purchase history while guest checkout remains available.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Storefront customer profiles and tracking. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,customer-profiles,,Planned,,
2026-12-18,Friday,Week 12,governance,Control / verification,Year-end readiness,Conversion support,Audit Workspace,Control / ROI / readiness,Carousel,Organic + boost,"Instagram, LinkedIn","owners, finance teams and external auditors",Year-end control check: Audit Workspace gives the next operating period cleaner evidence and fewer disconnected handoffs.,"Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Provide plan-gated read-only cross-module evidence review with auditor queries, flags and response tracking.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Audit Workspace. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,audit,,Planned,,
2026-12-19,Saturday,Week 12,governance,Persona / use case,Year-end readiness,Awareness,Role and per-user permissions,Control / ROI / readiness,Static graphic,Organic,"LinkedIn, Facebook",growing teams,Year-end control check: Role and per-user permissions gives the next operating period cleaner evidence and fewer disconnected handoffs.,"Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Give staff only the workspaces and actions they need while business-level entitlements remain the ceiling.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Role and per-user permissions. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,roles,,Planned,,
2026-12-20,Sunday,Week 12,experience,Recap / CTA,Year-end readiness,Consideration,Tenant branding and workspace appearance,Control / ROI / readiness,Screen-record demo,Organic + paid,"Instagram, TikTok",business owners and teams,Year-end control check: Tenant branding and workspace appearance gives the next operating period cleaner evidence and fewer disconnected handoffs.,"Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Business accent/background branding and light/dark workspace preferences keep each tenant recognizable without changing operational data.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Tenant branding and workspace appearance. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,workspace-theming,,Planned,,
2026-12-21,Monday,Week 12,governance,Problem / pain point,Year-end readiness,Conversion support,✨ NEW — Founder-controlled subscription plans & trial policy,Control / ROI / readiness,Story / poll,Organic,"Instagram Stories, Facebook Stories",INPROFIC operators and plan-managed tenants,Year-end control check: ✨ NEW — Founder-controlled subscription plans & trial policy gives the next operating period cleaner evidence and fewer disconnected handoffs.,"Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Control plan pricing, module entitlements, the general free-trial duration and per-business founder trial extensions without deleting tenant history or overlapping active paid/lifetime access.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Founder-controlled subscription plans & trial policy. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,subscriptions,2026-09-21,Planned,,
2026-12-22,Tuesday,Week 12,governance,How it works,Year-end readiness,Awareness,✨ NEW — Founder-controlled third-party integration availability,Control / ROI / readiness,Founder post,Organic,"LinkedIn, Facebook",INPROFIC platform operators and businesses using optional delivery providers,Year-end control check: ✨ NEW — Founder-controlled third-party integration availability gives the next operating period cleaner evidence and fewer disconnected handoffs.,"Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Optional provider connectors can be hidden and execution-blocked platform-wide without deleting tenant credentials or history; businesses still activate their own approved provider accounts only after configuration.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Founder-controlled third-party integration availability. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,founder-integration-gates,2026-09-20,Planned,,
2026-12-23,Wednesday,Week 12,governance,Screen / workflow demo,Year-end readiness,Consideration,Multiple service/business profiles under one subscription,Control / ROI / readiness,Paid ad creative,Paid prospecting + retargeting,"Instagram, Facebook, LinkedIn",owners running more than one service line,Year-end control check: Multiple service/business profiles under one subscription gives the next operating period cleaner evidence and fewer disconnected handoffs.,"Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Provision additional tenant-isolated service profiles, carry appropriate memberships across, and switch between them without mixing records.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Multiple service/business profiles under one subscription. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,multi-service-profiles,,Planned,,
2026-12-24,Thursday,Week 13,governance,Connected-system handoff,Year-end readiness,Conversion support,✨ NEW — Plan-upgrade data continuity,Control / ROI / readiness,Reel / short demo,Organic,"Instagram, Facebook",owners evaluating plan upgrades,Year-end control check: ✨ NEW — Plan-upgrade data continuity gives the next operating period cleaner evidence and fewer disconnected handoffs.,"Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Hidden interconnected modules do not stop required back-office synchronization, so upgrades reveal already-complete records.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Plan-upgrade data continuity. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,entitlement-continuity,2026-09-20,Planned,,
2026-12-25,Friday,Week 13,governance,Control / verification,Year-end readiness,Awareness,"Reports, exports and business backup",Control / ROI / readiness,Carousel,Organic + boost,"Instagram, LinkedIn","owners, managers and auditors","Year-end control check: Reports, exports and business backup gives the next operating period cleaner evidence and fewer disconnected handoffs.","Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Export operational reports and maintain a tenant backup path without flattening audit history.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Reports, exports and business backup. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,reports-backup,,Planned,,
2026-12-26,Saturday,Week 13,experience,Persona / use case,Year-end readiness,Consideration,Guided system onboarding,Control / ROI / readiness,Static graphic,Organic,"LinkedIn, Facebook",new teams,Year-end control check: Guided system onboarding gives the next operating period cleaner evidence and fewer disconnected handoffs.,"Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: A replayable tenant-aware tour keeps the original animated guide and adds a second module-specific preview that reflects the business vertical.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Guided system onboarding. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,onboarding,,Planned,,
2026-12-27,Sunday,Week 13,commerce,Recap / CTA,Year-end readiness,Conversion support,"✨ NEW — Surface-safe Online, POS and Distribution pricing",Control / ROI / readiness,Screen-record demo,Organic + paid,"Instagram, TikTok",businesses selling both in-premise and online,"Year-end control check: ✨ NEW — Surface-safe Online, POS and Distribution pricing gives the next operating period cleaner evidence and fewer disconnected handoffs.","Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Physical Store/direct pricing stays inside the staff POS, while hosted/headless commerce exposes Online plus Distribution/Bulk and INPROFIC enforces the chosen channel and minimum quantity server-side.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Surface-safe Online, POS and Distribution pricing. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,commerce-channel-boundary,2026-09-20,Planned,,
2026-12-28,Monday,Week 13,commerce,Problem / pain point,Year-end readiness,Awareness,"✨ NEW — Standard portions, composed products and Bulk Packs",Control / ROI / readiness,Story / poll,Organic,"Instagram Stories, Facebook Stories",restaurants and production businesses selling in customer-friendly portions or bulk packs,"Year-end control check: ✨ NEW — Standard portions, composed products and Bulk Packs gives the next operating period cleaner evidence and fewer disconnected handoffs.","Frame the feature around cleaner controls, fewer manual gaps and readiness for the next operating period without inventing savings claims. Proof point: Keep production in base units such as scoops/pieces/ml while customers buy plates, servings, bowls, cartons or other packs; show customer-safe package contents and preserve private yield conversions.",Prepare your 2027 workflow,"Use a real INPROFIC screen/demo for Standard portions, composed products and Bulk Packs. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,portion-bulk-pack-composition,2026-09-20,Planned,,
